diagnostic_laboratory_name,diag_lab_shortname
GVFI Cameroon,GVFI Cam.
WDDL,WDDL
CIRMF,CIRMF
BSRI,BSRI
California National Primate Research Center Pathogen Detection Laboratory,Cal. Primate Res. Ctr.
INRB,INRB
"ICB II, University of São Paulo",ICB II  São Paulo
"Center for Infection and Immunity, Columbia University",CII
Institut Pasteur Cambodia,"Inst. Pasteur, Cambodia"
"Focus Diagnostics, Inc., Cypress CA",Focus Diag.
"WHO-CC viral zoonoses, Chulalongkorn University","WHO-CC, Chulalongkorn"
UC Davis Wildlife Diagnostic Lab,UCD Wilidlife Diag. Lab
"Wuhan Institute of Virology, CAS",Wuhan Inst. Virol.
HUA National Key Laboratory of Veterinary Biotechnology,HUA Nat'l Lab of Vet. Biotech.
SUA Predict Lab,SUA
Instituto de Biologia Molecular y Biotecnología,Inst. Biolog. Molec y Biotec.
"Biomedicina LAB, INS, Lima","Biomed LAB, Lima"
Mexican Social Security Institute,Mex. Soc. Sec. Inst.
Laboratorio de Medicina de Conservación ESM IPN,Lab. de Medecin. de Conserv. ESM
"Laboratory of Population Genetics, UCR","Lab Pop. Genetics, UCR"
"CENID Microbiologia- Animal, INIFAP","CENID, INIFAP"
SUA Predict Lab/MUWRP,SUA/MUWRP
"Primate Research Center, Bogor Agricultural University","Prim. Res. Ctr, Bogor"
MUWRP,MUWRP
SUA Predict Lab/UC Davis Wildlife Diagnostic Lab,SUA/UCD
CMDN/Intrepid Nepal,CMDN/Intrepid Nepal
"ICDDR,B Lab","ICDDR,B Lab"
Regional Animal Health Office No. 6,Reg. Anim. Health Off. 6
"Veterinary Research Institute Ipoh, Department of Veterinary Services","Vet. Res Inst, Ipoh"
"Diagnostic Lab, Department of Wildlife and National Parks Peninsular Malaysia (PERHILITAN)","Dept. Wildlife/Parks, Malaysia"
National Animal Health Centre,Nat'l Anim. Health Ctr.
"Wildlife Health, Genetic and Forensic Laboratory, Sabah Wildlife Department","Wild. Health Gen/Forens Lab, Sabah"
Institut Pasteur Cambodia/National Animal Health Centre,Ins. Pasteur Cambodia/Nat'l Anim. Health Ctr.
"Institute of Pathogenic Microbiology, GDCDC","Inst. of Path. Microb, GDCDC"
CMDN and UC Davis,CMDN/UCD
