order, taxagroup
Accipitriformes,Birds
Afrosoricida,Other Mammals
Anseriformes,Birds
Apodiformes,Birds
Artiodactyla,Ungulates
Bucerotiformes,Birds
Caprimulgiformes,Birds
Carnivora,Carnivores
Cetacea,Other Mammals
Charadriiformes,Birds
Chiroptera,Bats
Ciconiiformes,Birds
Cingulata,Other Mammals
Coliiformes,Birds
Columbiformes,Birds
Coraciiformes,Birds
Crocodilia,Reptiles
Dermoptera,Other Mammals
Didelphimorphia,"Rodents, Shrews & Opossums"
Erinaceomorpha,Other Mammals
Eurypygiformes,Birds
Falconiformes,Birds
Galliformes,Birds
Gruiformes,Birds
Hyracoidea,Other Mammals
Lagomorpha,Other Mammals
Macroscelidea,Other Mammals
Musophagiformes,Birds
Passeriformes,Birds
Pelecaniformes,Birds
Perissodactyla,Ungulates
Pholidota,Other Mammals
Piciformes,Birds
Pilosa,Other Mammals
Podicipediformes,Birds
Primates,Non-Human Primates
Proboscidea,Other Mammals
Psittaciformes,Birds
Rodentia,"Rodents, Shrews & Opossums"
Scandentia,"Rodents, Shrews & Opossums"
Sirenia,Other Mammals
Soricomorpha,"Rodents, Shrews & Opossums"
Squamata,Reptiles
Strigiformes,Birds
Suliformes,Birds
Testudines,Reptiles
Tinamiformes,Birds
Tubulidentata,Other Mammals
,
