eidith_name,eidith_class,eidith_order,eidith_family,eidith_genus,eidith_species,itis_name,itis_class,itis_order,itis_family,itis_genus,itis_species,itis_subspecies,itis_binomial
Scotophilus kuhlii,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,kuhlii,Scotophilus kuhlii,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,kuhlii,NA,Scotophilus kuhlii
Taphozous longimanus,Mammalia,Chiroptera,Emballonuridae,Taphozous,longimanus,Taphozous longimanus,Mammalia,Chiroptera,Emballonuridae,Taphozous,longimanus,NA,Taphozous longimanus
Pteropus lylei,Mammalia,Chiroptera,Pteropodidae,Pteropus,lylei,Pteropus lylei,Mammalia,Chiroptera,Pteropodidae,Pteropus,lylei,NA,Pteropus lylei
Cricetomys emini,Mammalia,Rodentia,Muridae,Cricetomys,emini,Cricetomys emini,Mammalia,Rodentia,Nesomyidae,Cricetomys,emini,NA,Cricetomys emini
Cephalophus dorsalis,Mammalia,Artiodactyla,Bovidae,Cephalophus,dorsalis,Cephalophus dorsalis,Mammalia,Artiodactyla,Bovidae,Cephalophus,dorsalis,NA,Cephalophus dorsalis
Atherurus africanus,Mammalia,Rodentia,Hystricidae,Atherurus,africanus,Atherurus africanus,Mammalia,Rodentia,Hystricidae,Atherurus,africanus,NA,Atherurus africanus
Cephalophus monticola,Mammalia,Artiodactyla,Bovidae,Cephalophus,monticola,Philantomba monticola,Mammalia,Artiodactyla,Bovidae,Philantomba,monticola,NA,Philantomba monticola
Dendrohyrax dorsalis,Mammalia,Hyracoidea,Procaviidae,Dendrohyrax,dorsalis,Dendrohyrax dorsalis,Mammalia,Hyracoidea,Procaviidae,Dendrohyrax,dorsalis,NA,Dendrohyrax dorsalis
Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,nictitans,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,nictitans,NA,Cercopithecus nictitans
Thryonomys swinderianus,Mammalia,Rodentia,Thryonomyidae,Thryonomys,swinderianus,Thryonomys swinderianus,Mammalia,Rodentia,Thryonomyidae,Thryonomys,swinderianus,NA,Thryonomys swinderianus
Cercopithecus cephus,Mammalia,Primates,Cercopithecidae,Cercopithecus,cephus,Cercopithecus cephus,Mammalia,Primates,Cercopithecidae,Cercopithecus,cephus,NA,Cercopithecus cephus
Bdeogale nigripes,Mammalia,Carnivora,Herpestidae,Bdeogale,nigripes,Bdeogale nigripes,Mammalia,Carnivora,Herpestidae,Bdeogale,nigripes,NA,Bdeogale nigripes
Atilax paludinosus,Mammalia,Carnivora,Herpestidae,Atilax,paludinosus,Atilax paludinosus,Mammalia,Carnivora,Herpestidae,Atilax,paludinosus,NA,Atilax paludinosus
Cephalophus callipygus,Mammalia,Artiodactyla,Bovidae,Cephalophus,callipygus,Cephalophus callipygus,Mammalia,Artiodactyla,Bovidae,Cephalophus,callipygus,NA,Cephalophus callipygus
Nandinia binotata,Mammalia,Carnivora,Nandiniidae,Nandinia,binotata,Nandinia binotata,Mammalia,Carnivora,Nandiniidae,Nandinia,binotata,NA,Nandinia binotata
Miopithecus ogouensis,Mammalia,Primates,Cercopithecidae,Miopithecus,ogouensis,Miopithecus ogouensis,Mammalia,Primates,Cercopithecidae,Miopithecus,ogouensis,NA,Miopithecus ogouensis
Varanus ornatus,Reptilia,Squamata,Varanidae,Varanus,ornatus,Varanus ornatus,Reptilia,Squamata,Varanidae,Varanus,ornatus,NA,Varanus ornatus
Potamochoerus larvatus,Mammalia,Artiodactyla,Suidae,Potamochoerus,larvatus,Potamochoerus larvatus,Mammalia,Artiodactyla,Suidae,Potamochoerus,larvatus,NA,Potamochoerus larvatus
Smutsia gigantea,Mammalia,Pholidota,Manidae,Smutsia,gigantea,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,gigantea,NA,Manis gigantea
Phataginus tricuspis,Mammalia,Pholidota,Manidae,Phataginus,tricuspis,Manis tricuspis,Mammalia,Pholidota,Manidae,Manis,tricuspis,NA,Manis tricuspis
Herpestes sanguinea,Mammalia,Carnivora,Herpestidae,Herpestes,sanguinea,Galerella sanguinea,Mammalia,Carnivora,Herpestidae,Galerella,sanguinea,NA,Galerella sanguinea
Perodicticus potto,Mammalia,Primates,Lorisidae,Perodicticus,potto,Perodicticus potto,Mammalia,Primates,Lorisidae,Perodicticus,potto,NA,Perodicticus potto
Manis tricuspis,Mammalia,Pholidota,Manidae,Manis,tricuspis,Manis tricuspis,Mammalia,Pholidota,Manidae,Manis,tricuspis,NA,Manis tricuspis
Cephalophus nigrifrons,Mammalia,Artiodactyla,Bovidae,Cephalophus,nigrifrons,Cephalophus nigrifrons,Mammalia,Artiodactyla,Bovidae,Cephalophus,nigrifrons,NA,Cephalophus nigrifrons
Cephalophus leucogaster,Mammalia,Artiodactyla,Bovidae,Cephalophus,leucogaster,Cephalophus leucogaster,Mammalia,Artiodactyla,Bovidae,Cephalophus,leucogaster,NA,Cephalophus leucogaster
Aonyx congicus,Mammalia,Carnivora,Mustelidae,Aonyx,congicus,Aonyx capensis congicus,Mammalia,Carnivora,Mustelidae,Aonyx,capensis,congicus,Aonyx capensis
Cercopithecus pogonias,Mammalia,Primates,Cercopithecidae,Cercopithecus,pogonias,Cercopithecus pogonias,Mammalia,Primates,Cercopithecidae,Cercopithecus,pogonias,NA,Cercopithecus pogonias
Herpestidae sp.,Mammalia,Carnivora,Herpestidae,NA,NA,Herpestidae sp.,Mammalia,Carnivora,Herpestidae,NA,NA,NA,NA
Hyemoschus aquaticus,Mammalia,Artiodactyla,Tragulidae,Hyemoschus,aquaticus,Hyemoschus aquaticus,Mammalia,Artiodactyla,Tragulidae,Hyemoschus,aquaticus,NA,Hyemoschus aquaticus
Uromanis tetradactyla,Mammalia,Pholidota,Manidae,Uromanis,tetradactyla,Manis tetradactyla,Mammalia,Pholidota,Manidae,Manis,tetradactyla,NA,Manis tetradactyla
Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,neglectus,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,neglectus,NA,Cercopithecus neglectus
Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,civetta,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,civetta,NA,Civettictis civetta
Tragelaphus spekii,Mammalia,Artiodactyla,Bovidae,Tragelaphus,spekii,Tragelaphus spekii,Mammalia,Artiodactyla,Bovidae,Tragelaphus,spekii,NA,Tragelaphus spekii
Neotragus batesi,Mammalia,Artiodactyla,Bovidae,Neotragus,batesi,Neotragus batesi,Mammalia,Artiodactyla,Bovidae,Neotragus,batesi,NA,Neotragus batesi
Herpestes naso,Mammalia,Carnivora,Herpestidae,Herpestes,naso,Herpestes naso,Mammalia,Carnivora,Herpestidae,Herpestes,naso,NA,Herpestes naso
Cephalophus silvicultor,Mammalia,Artiodactyla,Bovidae,Cephalophus,silvicultor,Cephalophus silvicultor,Mammalia,Artiodactyla,Bovidae,Cephalophus,silvicultor,NA,Cephalophus silvicultor
Hipposideros caffer,Mammalia,Chiroptera,Hipposideridae,Hipposideros,caffer,Hipposideros caffer,Mammalia,Chiroptera,Hipposideridae,Hipposideros,caffer,NA,Hipposideros caffer
Pan troglodytes,Mammalia,Primates,Hominidae,Pan,troglodytes,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,troglodytes,NA,Pan troglodytes
Lophocebus albigena,Mammalia,Primates,Cercopithecidae,Lophocebus,albigena,Lophocebus albigena,Mammalia,Primates,Cercopithecidae,Lophocebus,albigena,NA,Lophocebus albigena
Mandrillus sphinx,Mammalia,Primates,Cercopithecidae,Mandrillus,sphinx,Mandrillus sphinx,Mammalia,Primates,Cercopithecidae,Mandrillus,sphinx,NA,Mandrillus sphinx
Mandrillus leucophaeus,Mammalia,Primates,Cercopithecidae,Mandrillus,leucophaeus,Mandrillus leucophaeus,Mammalia,Primates,Cercopithecidae,Mandrillus,leucophaeus,NA,Mandrillus leucophaeus
Cercocebus torquatus,Mammalia,Primates,Cercopithecidae,Cercocebus,torquatus,Cercocebus torquatus,Mammalia,Primates,Cercopithecidae,Cercocebus,torquatus,NA,Cercocebus torquatus
Testudinidae sp.,Reptilia,Testudines,Testudinidae,NA,NA,Testudinidae sp.,Reptilia,Testudines,Testudinidae,NA,NA,NA,NA
Naja melanoleuca,Reptilia,Squamata,Elapidae,Naja,melanoleuca,Naja melanoleuca,Reptilia,Squamata,Elapidae,Naja,melanoleuca,NA,Naja melanoleuca
Genetta servalina,Mammalia,Carnivora,Viverridae,Genetta,servalina,Genetta servalina,Mammalia,Carnivora,Viverridae,Genetta,servalina,NA,Genetta servalina
Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,anubis,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,anubis,NA,Papio anubis
Cercocebus agilis,Mammalia,Primates,Cercopithecidae,Cercocebus,agilis,Cercocebus agilis,Mammalia,Primates,Cercopithecidae,Cercocebus,agilis,NA,Cercocebus agilis
Cercopithecus tantalus,Mammalia,Primates,Cercopithecidae,Cercopithecus,tantalus,Chlorocebus tantalus,Mammalia,Primates,Cercopithecidae,Chlorocebus,tantalus,NA,Chlorocebus tantalus
Nycteris grandis,Mammalia,Chiroptera,Nycteridae,Nycteris,grandis,Nycteris grandis,Mammalia,Chiroptera,Nycteridae,Nycteris,grandis,NA,Nycteris grandis
Rhinolophus landeri,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,landeri,Rhinolophus landeri,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,landeri,NA,Rhinolophus landeri
Micropteropus pusillus,Mammalia,Chiroptera,Pteropodidae,Micropteropus,pusillus,Micropteropus pusillus,Mammalia,Chiroptera,Pteropodidae,Micropteropus,pusillus,NA,Micropteropus pusillus
Alethe castanea,Aves,Passeriformes,Turdidae,Alethe,castanea,Alethe castanea,Aves,Passeriformes,Turdidae,Alethe,castanea,NA,Alethe castanea
Cossypha natalensis,Aves,Passeriformes,Muscicapidae,Cossypha,natalensis,Cossypha natalensis,Aves,Passeriformes,Muscicapidae,Cossypha,natalensis,NA,Cossypha natalensis
Strix woodfordii,Aves,Strigiformes,Strigidae,Strix,woodfordii,Strix woodfordii,Aves,Strigiformes,Strigidae,Strix,woodfordii,NA,Strix woodfordii
Cyanomitra cyanolaema,Aves,Passeriformes,Nectariniidae,Cyanomitra,cyanolaema,Cyanomitra cyanolaema,Aves,Passeriformes,Nectariniidae,Cyanomitra,cyanolaema,NA,Cyanomitra cyanolaema
Andropadus virens,Aves,Passeriformes,Pycnonotidae,Andropadus,virens,Eurillas virens,Aves,Passeriformes,Pycnonotidae,Eurillas,virens,NA,Eurillas virens
Phyllastrephus albigularis,Aves,Passeriformes,Pycnonotidae,Phyllastrephus,albigularis,Phyllastrephus albigularis,Aves,Passeriformes,Pycnonotidae,Phyllastrephus,albigularis,NA,Phyllastrephus albigularis
Chlorocichla simplex,Aves,Passeriformes,Pycnonotidae,Chlorocichla,simplex,Chlorocichla simplex,Aves,Passeriformes,Pycnonotidae,Chlorocichla,simplex,NA,Chlorocichla simplex
Dyaphorophyia castanea,Aves,Passeriformes,Platysteiridae,Dyaphorophyia,castanea,Platysteira castanea,Aves,Passeriformes,Platysteiridae,Platysteira,castanea,NA,Platysteira castanea
Soricidae sp.,Mammalia,Soricomorpha,Soricidae,NA,NA,Soricidae sp.,Mammalia,Soricomorpha,Soricidae,NA,NA,NA,NA
Lophuromys nudicaudus,Mammalia,Rodentia,Muridae,Lophuromys,nudicaudus,Lophuromys nudicaudus,Mammalia,Rodentia,Muridae,Lophuromys,nudicaudus,NA,Lophuromys nudicaudus
Praomys sp.,Mammalia,Rodentia,Muridae,Praomys,NA,Praomys sp.,Mammalia,Rodentia,Muridae,Praomys,NA,NA,NA
Mus setulosus,Mammalia,Rodentia,Muridae,Mus,setulosus,Mus setulosus,Mammalia,Rodentia,Muridae,Mus,setulosus,NA,Mus setulosus
Rodentia,Mammalia,Rodentia,NA,NA,NA,Rodentia sp.,Mammalia,Rodentia,NA,NA,NA,NA,NA
Epomops franqueti,Mammalia,Chiroptera,Pteropodidae,Epomops,franqueti,Epomops franqueti,Mammalia,Chiroptera,Pteropodidae,Epomops,franqueti,NA,Epomops franqueti
Colobus satanas,Mammalia,Primates,Cercopithecidae,Colobus,satanas,Colobus satanas,Mammalia,Primates,Cercopithecidae,Colobus,satanas,NA,Colobus satanas
Myonycteris torquata,Mammalia,Chiroptera,Pteropodidae,Myonycteris,torquata,Myonycteris torquata,Mammalia,Chiroptera,Pteropodidae,Myonycteris,torquata,NA,Myonycteris torquata
Mops brachypterus,Mammalia,Chiroptera,Molossidae,Mops,brachypterus,Mops brachypterus,Mammalia,Chiroptera,Molossidae,Mops,brachypterus,NA,Mops brachypterus
Megaloglossus woermanni,Mammalia,Chiroptera,Pteropodidae,Megaloglossus,woermanni,Megaloglossus woermanni,Mammalia,Chiroptera,Pteropodidae,Megaloglossus,woermanni,NA,Megaloglossus woermanni
