GAINS3_EventID,GAINS3_SampleUnitID,ContainerID,ContainerType,Quantity,QuantityCertainty,QuantityUnit,SampleUnitID,AnimalID (GAINS),AnimalID from Country,PriortizedForTesting,SampleDate,SampleUnitLatitude,SampleUnitLongitude,ButcherReducesBloodContact,CircumstanceOfObservation,OtherConditionOfPreservation,OriginKnown,OriginLocation,TimeSinceOrigin,DestinationProduct,VendorQuantity,PriceUnitUSD,RateSaleSold,IdentifiedBy,CircumstanceObservation,AnimalClassification,Taxagroup,SpeciesScientificName,SpeciesCommonNameEnglish,SpeciesCommonNameLocal,IdentificationCertainty,TagBandID,Sex,AgeClass,Pregnant,WithYoung,Lactating,ConditionAtCapture,ConditionAtRelease,PreservationMethod,OtherConditionPreservation,Use,OtherUse,Euthanasia,ClinicalSigns/GrossFindings,DiseaseSuspected,SuspectedDIsease,Necropsy/exam,FieldNecropsyResult,BodyMeasurementBodyPartType,BodyMeasurementUnit,BodyMeasurementValue,PartName,PartDescription,PerceivedRateOfSale,PriceUnitLocal,VendorQuantityUnit,VendorQuantityCertainty,ButcheringActivity,ButcherName,ButcherObservableRiskFactors,Quarter,SampleUnitNotes,SampleUnitCustomColumns,class,order,family,genus,species,DateLastUpdated,SampleIndividualName,CRDate,LMDate,Country
88,1,NA,NA,NA,NA,NA,Ntabwoba.2004-04-02,Ntabwoba.2004-04-02,NA,yes,2004-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Captive Wild,Non-human Primates,Gorilla beringei graueri,Grauer's gorilla,Grauer's gorilla,Actual,NA,Male,Juvenile,N/A,N/A,N/A,Apparently healthy,Apparently healthy,NA,NA,NA,NA,No,NA,No,NA,Physical Exam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pre-FY1,NA,NA,Mammalia                           ,Primates                           ,Hominidae                          ,Gorilla                            ,beringei,2015-03-04T00:15:42.33,Ntabwoba.2004-04-02,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
88,2,NA,NA,NA,NA,NA,Maisha.2004-12-23,Maisha.2004-12-23,NA,yes,2004-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Captive Wild,Non-human Primates,Gorilla beringei beringei,Mountain gorilla,mountain gorilla,Actual,NA,Female,Juvenile,No,N/A,N/A,Apparently healthy,Apparently healthy,NA,NA,NA,NA,No,NA,No,NA,Physical Exam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pre-FY1,NA,NA,Mammalia                           ,Primates                           ,Hominidae                          ,Gorilla                            ,beringei,2015-03-04T00:15:42.33,Maisha.2004-12-23,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
88,3,NA,NA,NA,NA,NA,Dunia.2006-07-18,Dunia.2006-07-18,NA,yes,2006-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Captive Wild,Non-human Primates,Gorilla beringei graueri,Grauer's gorilla,Grauer's gorilla,Actual,NA,Female,Juvenile,N/A,N/A,N/A,Apparently healthy,Apparently healthy,NA,NA,NA,NA,No,NA,No,NA,Physical Exam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pre-FY1,NA,NA,Mammalia                           ,Primates                           ,Hominidae                          ,Gorilla                            ,beringei,2015-03-04T00:15:42.33,Dunia.2006-07-18,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
88,4,NA,NA,NA,NA,NA,Itebero.2006-12-19,Itebero.2006-12-19,NA,no,2006-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Captive Wild,Non-human Primates,Gorilla beringei graueri,Grauer's gorilla,Grauer's gorilla,Actual,NA,Female,Juvenile,No,N/A,N/A,Apparently healthy,Apparently healthy,NA,NA,NA,NA,No,NA,No,NA,Physical Exam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pre-FY1,NA,NA,Mammalia                           ,Primates                           ,Hominidae                          ,Gorilla                            ,beringei,2015-03-04T00:15:42.33,Itebero.2006-12-19,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
88,5,NA,NA,NA,NA,NA,Pinga.2006-12-19,Pinga.2006-12-19,NA,yes,2006-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Captive Wild,Non-human Primates,Gorilla beringei graueri,Grauer's gorilla,Grauer's gorilla,Actual,NA,Female,Juvenile,No,N/A,N/A,Apparently healthy,Apparently healthy,NA,NA,NA,NA,No,NA,No,NA,Physical Exam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pre-FY1,NA,NA,Mammalia                           ,Primates                           ,Hominidae                          ,Gorilla                            ,beringei,2015-03-04T00:15:42.33,Pinga.2006-12-19,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
88,6,NA,NA,NA,NA,NA,Tumaini.2006-12-19,Tumaini.2006-12-19,NA,yes,2006-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Wild,Non-human Primates,Gorilla beringei graueri,Grauer's gorilla,Grauer's gorilla,Actual,NA,Female,Juvenile,N/A,N/A,N/A,Apparently healthy,Apparently healthy,NA,NA,NA,NA,No,NA,No,NA,Physical Exam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pre-FY1,NA,NA,Mammalia                           ,Primates                           ,Hominidae                          ,Gorilla                            ,beringei,2015-03-04T00:15:42.33,Tumaini.2006-12-19,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
88,7,NA,NA,NA,NA,NA,Kaboko.2007-04-30,Kaboko.2007-04-30,NA,yes,2007-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Captive Wild,Non-human Primates,Gorilla beringei beringei,Mountain gorilla,mountain gorilla,Actual,NA,Male,Juvenile,No,N/A,N/A,Apparently healthy,Apparently healthy,NA,NA,NA,NA,No,NA,No,NA,Physical Exam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pre-FY1,NA,NA,Mammalia                           ,Primates                           ,Hominidae                          ,Gorilla                            ,beringei,2015-03-04T00:15:42.33,Kaboko.2007-04-30,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
88,8,NA,NA,NA,NA,NA,Serufuli.2008-06-23,Serufuli.2008-06-23,NA,yes,2008-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Captive Wild,Non-human Primates,Gorilla beringei graueri,Grauer's gorilla,Grauer's gorilla,Actual,NA,Female,Juvenile,No,N/A,N/A,Apparently healthy,Apparently healthy,NA,NA,NA,NA,No,NA,No,NA,Physical Exam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pre-FY1,NA,NA,Mammalia                           ,Primates                           ,Hominidae                          ,Gorilla                            ,beringei,2015-03-04T00:15:42.33,Serufuli.2008-06-23,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
88,9,NA,NA,NA,NA,NA,Gimlet,Gimlet,NA,yes,2009-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Wild,Non-human Primates,Chlorocebus pygerythrus,Vervet monkey,vervet monkey,Actual,NA,Female,Juvenile,No,N/A,N/A,Apparently healthy,Apparently healthy,NA,NA,NA,NA,No,NA,No,NA,Physical Exam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pre-FY1,NA,NA,Mammalia                           ,Primates                           ,Cercopithecidae                    ,Chlorocebus                        ,pygerythrus,2015-03-04T00:15:42.33,Gimlet,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
88,10,NA,NA,NA,NA,NA,Nelson,Nelson,NA,yes,2009-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Wild,Non-human Primates,Cercopithecus mitis kandti,Golden monkey,golden monkey,Actual,NA,Male,Adult,N/A,N/A,N/A,Apparently healthy,Apparently healthy,NA,NA,NA,NA,No,NA,No,NA,Physical Exam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pre-FY1,NA,NA,Mammalia,Primates,Cercopithecidae,Cercopithecus,mitis,2015-03-04T00:15:42.33,Nelson,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
88,11,NA,NA,NA,NA,NA,Maisha.2005-01-06,Maisha.2005-01-06,NA,yes,2005-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Captive Wild,Non-human Primates,Gorilla beringei beringei,Mountain gorilla,mountain gorilla,Actual,NA,Female,Juvenile,No,N/A,N/A,Apparently healthy,Apparently healthy,NA,NA,NA,NA,No,NA,No,NA,Physical Exam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pre-FY1,NA,NA,Mammalia                           ,Primates                           ,Hominidae                          ,Gorilla                            ,beringei,2015-03-04T00:15:42.33,Maisha.2005-01-06,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
88,12,NA,NA,NA,NA,NA,Ntabwoba.2006-01-25,Ntabwoba.2006-01-25,NA,yes,2006-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Captive Wild,Non-human Primates,Gorilla beringei graueri,Grauer's gorilla,Grauer's gorilla,Actual,NA,Male,Juvenile,N/A,N/A,N/A,Apparently healthy,Apparently healthy,NA,NA,NA,NA,No,NA,No,NA,Physical Exam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pre-FY1,NA,NA,Mammalia                           ,Primates                           ,Hominidae                          ,Gorilla                            ,beringei,2015-03-04T00:15:42.33,Ntabwoba.2006-01-25,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
