GAINS3_SampleUnitID,GAINS3_SpecimenID,SpecimenID,AliquotID,SpecimenIDUnique,SpecimenDate,SpecimenType,SpecimenTypeGroup,SpecimenCondition,SamplingMethod,SampleContainer,StorageMedium,LabratoryStorageMethod,StorageLocationFacilityOriginal,StorageLocationInFacilityOriginal,StorageLocationAdressOriginal,StorageLocationFacilityCurrent,StorageLocationInFacilityCurrent,StorageLocationAdressCurrent,TimeFromCollectionToFreezing,SpecimenComments,SpecimenNotes,SpecimenCustomColumns,DateLastUpdated,SpecimenTypeID,CRDate,LMDate,Country
1,2,040402MCGg001,040402MCGg001.1,040402MCGg001.1,2004-04-02,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
1,2,040402MCGg001,040402MCGg001.2,040402MCGg001.2,2004-04-02,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
2,4,041223CAWGBB001,041223CAWGBB001.1,041223CAWGBB001.1,2004-12-23,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
2,4,041223CAWGBB001,041223CAWGBB001.2,041223CAWGBB001.2,2004-12-23,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
3,6,060718JFKGBG001,060718JFKGBG001.1,060718JFKGBG001.1,2006-07-18,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
3,6,060718JFKGBG001,060718JFKGBG001.2,060718JFKGBG001.2,2006-07-18,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
4,8,061219CAWGBG002,061219CAWGBG002.1,061219CAWGBG002.1,2006-12-19,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
4,8,061219CAWGBG002,061219CAWGBG002.2,061219CAWGBG002.2,2006-12-19,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
5,10,061219CAWGBG001,061219CAWGBG001.1,061219CAWGBG001.1,2006-12-19,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
5,10,061219CAWGBG001,061219CAWGBG001.2,061219CAWGBG001.2,2006-12-19,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
6,12,061219DGRGBG002,061219DGRGBG002.1,061219DGRGBG002.1,2006-12-19,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
6,12,061219DGRGBG002,061219DGRGBG002.2,061219DGRGBG002.2,2006-12-19,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
7,14,070430DGRGBB001,070430DGRGBB001.1,070430DGRGBB001.1,2007-04-30,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
7,14,070430DGRGBB001,070430DGRGBB001.2,070430DGRGBB001.2,2007-04-30,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
8,16,080623JFKGbg002,080623JFKGbg002.1,080623JFKGbg002.1,2008-06-23,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
8,16,080623JFKGbg002,080623JFKGbg002.2,080623JFKGbg002.2,2008-06-23,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
9,18,090810MLBCAXT,090810MLBCAXT.1,090810MLBCAXT.1,2009-08-10,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
9,18,090810MLBCAXT,090810MLBCAXT.2,090810MLBCAXT.2,2009-08-10,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
10,20,090810MLBCMK001,090810MLBCMK001.1,090810MLBCMK001.1,2009-08-10,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
10,20,090810MLBCMK001,090810MLBCMK001.2,090810MLBCMK001.2,2009-08-10,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
11,22,050106FBNGbb001,050106FBNGbb001.1,050106FBNGbb001.1,2005-01-06,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
11,22,050106FBNGbb001,050106FBNGbb001.2,050106FBNGbb001.2,2005-01-06,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
12,24,060125CAWGBG001,060125CAWGBG001.1,060125CAWGBG001.1,2006-01-25,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
12,24,060125CAWGBG001,060125CAWGBG001.2,060125CAWGBG001.2,2006-01-25,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
13,26,060806CAWGBG001,060806CAWGBG001.1,060806CAWGBG001.1,2006-08-06,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
13,26,060806CAWGBG001,060806CAWGBG001.2,060806CAWGBG001.2,2006-08-06,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
14,28,060806FBNGBG001,060806FBNGBG001.1,060806FBNGBG001.1,2006-08-06,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
14,28,060806FBNGBG001,060806FBNGBG001.2,060806FBNGBG001.2,2006-08-06,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
15,30,070423JFKGBB001,070423JFKGBB001.1,070423JFKGBB001.1,2007-04-23,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
15,30,070423JFKGBB001,070423JFKGBB001.2,070423JFKGBB001.2,2007-04-23,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
